FID,ROADWAY,FUNCLASS,BEGIN_POST,END_POST,Shape_Leng,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
8164,51550008,09,0,0.325,525.1194,3,51,Gulf,3,525.119390162039
8165,90590003,09,0.006,1.534,2448.5708,6,90,Monroe,6,2448.57082713271
8166,90505059,19,0,0.096,163.6416,6,90,Monroe,6,163.641618924756
8167,51615000,09,0,2.177,3481.7192,3,51,Gulf,3,3481.71917370554
8168,51560025,09,0,0.233,378.4514,3,51,Gulf,3,378.451396513763
8169,10000071,18,0,3.863,6214.0255,7,10,Hillsborough,7,6214.02548163825
8170,50702003,09,0,0.412,663.156,3,50,Gadsden,3,663.156017892415
8171,16000086,17,0.279,0.538,414.9355,1,16,Polk,1,414.935452368043
8172,16000045,19,0,1.213,1950.9896,1,16,Polk,1,1950.98961993437
8173,72050000,17,2.449,2.665,348.299,2,72,Duval,2,348.298991548355
8174,09570000,17,0,6.359,10209.4446,1,09,Highlands,1,10209.4445693044
8175,16000206,17,1.055,1.427,598.2511,1,16,Polk,1,598.251102198434
8176,50080000,07,0,13.168,21195.1957,3,50,Gadsden,3,21195.1956980268
8177,72220000,16,0.32,11.631,18181.5409,2,72,Duval,2,18181.5409232697
8178,51560003,09,0,0.152,244.4154,3,51,Gulf,3,244.415354060436
8179,51070003,09,0,1.012,1626.0787,3,51,Gulf,3,1626.07870681997
8180,10000056,17,0.366,3.618,5244.2218,7,10,Hillsborough,7,5244.22181396502
8181,50550000,18,9.142,10.513,2205.9531,3,50,Gadsden,3,2205.95309251476
8182,10000220,17,0,5.973,9628.2718,7,10,Hillsborough,7,9628.27180923673
8183,16000025,07,0,7.921,12747.288,1,16,Polk,1,12747.2879983989
8184,09900003,09,0,1.471,2366.6214,1,09,Highlands,1,2366.62141804057
8185,09040000,16,0,9.89,15934.3327,1,09,Highlands,1,15934.3327148006
8186,10000504,07,0,5.197,8380.453,7,10,Hillsborough,7,8380.45295902167
8187,10000192,17,0,0.268,437.5888,7,10,Hillsborough,7,437.588822591022
8188,52000017,09,0,1.832,2960.3487,3,52,Holmes,3,2960.34873858192
8189,72160000,16,13.957,14.278,516.4381,2,72,Duval,2,516.438134937628
8190,72120201,14,0,0.373,611.6805,2,72,Duval,2,611.680468122378
8191,72070102,14,0,1.096,1761.6838,2,72,Duval,2,1761.68384305386
8192,90610020,19,0,0.213,343.6666,6,90,Monroe,6,343.666640832495
8193,72040101,12,0.317,0.403,138.3654,2,72,Duval,2,138.365431605722
8194,10000115,18,0,1.322,2126.4473,7,10,Hillsborough,7,2126.44729054471
8195,09620001,16,0,1.207,1932.3739,1,09,Highlands,1,1932.37387357118
8196,09000533,16,0,4.078,6548.5558,1,09,Highlands,1,6548.55579313346
8197,10000274,17,0,1.573,2526.3031,7,10,Hillsborough,7,2526.30305166919
8198,51560041,09,0,0.319,523.3739,3,51,Gulf,3,523.373939583842
8199,10000033,17,0,2.079,3335.218,7,10,Hillsborough,7,3335.21804864041
8200,16000149,17,0,0.468,752.0749,1,16,Polk,1,752.074871448286
8201,16000073,17,0,0.261,410.5208,1,16,Polk,1,410.520793592361
8202,72060000,04,8.774,10.431,2664.594,2,72,Duval,2,2664.59401468014
8203,72028000,16,3.956,6.417,3960.3429,2,72,Duval,2,3960.34290356547
8204,16000213,19,0.283,0.532,404.575,1,16,Polk,1,404.57495031543
8205,51550016,09,0,0.095,160.5135,3,51,Gulf,3,160.513541109299
8206,90500011,17,0,0.34,565.1297,6,90,Monroe,6,565.129728005309
8207,51900009,09,0,0.295,471.529,3,51,Gulf,3,471.529045131389
8208,51560014,09,0,0.111,177.9208,3,51,Gulf,3,177.920768670901
8209,10000009,16,0,0.518,832.398,7,10,Hillsborough,7,832.398009913825
8210,50660000,08,0,1.441,2315.3887,3,50,Gadsden,3,2315.38874845031
8211,16000111,17,0,1.742,2781.6159,1,16,Polk,1,2781.61586372503
8212,16000027,09,0,1.292,2050.0385,1,16,Polk,1,2050.0385028607
8213,09900008,19,0,0.499,803.6125,1,09,Highlands,1,803.612469587755
8214,09010000,14,13.975,21.634,12324.8896,1,09,Highlands,1,12324.8896401017
8215,10000602,16,0.089,0.72,1014.0216,7,10,Hillsborough,7,1014.02157732166
8216,50900007,09,0,0.414,670.9011,3,50,Gadsden,3,670.901115119996
8217,09570000,07,6.359,6.8,707.9979,1,09,Highlands,1,707.997873085433
8218,16000205,17,0,0.551,887.9057,1,16,Polk,1,887.905684013727
8219,10000085,16,0.117,0.445,524.2622,7,10,Hillsborough,7,524.262216047942
