FID,RDWYID,SIDE,VALUE_,EFFDATE,CNTLRDES,MAINTAGC,SDESTRET,SIGNALID,SIGNALNC,SIGSTRCT,TYPECABL,SEC_STAT,BEGPT,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,x,y
3136,55020000,C,02,N/A,N/A,LEON COUNTY,LAGNIAPPE WAY,025,N/A,01,N/A,ON,3.985,3,55,Leon,3,190979.583499999,3374552.2673
3137,15070000,C,02,16-OCT-1984,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,4.653,7,15,Pinellas,7,331248.0897,3100553.8713
3138,72100000,C,02,01-MAY-1984,N/A,JACKSONVILLE,MINDANAO DR,N/A,N/A,01,N/A,ON,8.27,2,72,Duval,2,450209.7834,3354864.7583
3139,75003000,C,02,07-DEC-1988,SR 436(SEMORAN BV),ORLANDO,PERSHING AV,75029,N/A,03,02,ON,3.312,5,75,Orange,5,469647.427000001,3152511.5143
3140,70050000,C,02,06-DEC-1993,SR500(US192NEWHAVEN),BREVARD COUNTY,I-95 NB RAMPS,70125,N/A,01,N/A,ON,9.863,5,70,Brevard,5,528961.903500001,3105966.4386
3141,15010000,C,02,10-OCT-1985,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,1.25,7,15,Pinellas,7,336542.539300002,3073652.3638
3142,04040000,C,02,22-OCT-2009,SR 70 / OAK ST,ARCADIA,NE TURNER RD,149,N/A,03,02,ON,14.664,1,04,Desoto,1,416722.719300002,3009877.6944
3143,06010000,C,02,N/A,SR 35 / US 17,ZOLFO SPRINGS,SR 64,155,N/A,03,02,ON,11.165,1,06,Hardee,1,421183.8435,3042137.0072
3144,76010000,C,02,19-MAR-1981,N/A,PUTNAM COUNTY,19TH ST/M.L.KING,N/A,N/A,03,N/A,ON,29.869,2,76,Putnam,2,437246.9988,3280193.2356
3145,34010000,C,02,18-JAN-1972,N/A,CITY OF WILLISTON,"SR 45,(US41)WEST/7TH",N/A,N/A,01,N/A,ON,34.393,2,34,Levy,2,358712.2749,3251638.5552
3146,72280103,C,02,25-SEP-2004,N/A,JACKSONVILLE,RAMP TO OLD ST AUGUS,N/A,N/A,01,N/A,EXCLUSIVE,0.288,2,72,Duval,2,447840.701900001,3334561.6608
3147,75020000,C,02,12-NOV-1998,SR 500(US 441-OBT),APOPKA,BENBOW CT,75123,N/A,03,02,ON,8.301,5,75,Orange,5,454344.1788,3169493.4627
3148,11200000,C,04,27-FEB-2008,SR 25(US 27),LAKE COUNTY,CENTER ST,11124,N/A,03,02,ON,16.536,5,11,Lake,5,427018.6703,3160818.4269
3149,93150000,C,02,24-APR-2008,N/A,N/A,CUMBERLAND DRIVE,23650,N/A,01,N/A,ON,4.91,4,93,Palm Beach,4,588575.179800002,2958947.6796
3150,79010000,C,02,04-MAY-1990,SR5(US1-RIDGEWOOD),VOLUSIA COUNTY,ROBERTS RD,79010,N/A,03,02,ON,12.293,5,79,Volusia,5,511330.071100001,3202212.6819
